[2025-05-18 22:06:49] Game started
[2025-05-18 22:06:51] Player shoots at (1, 2) - MISS
[2025-05-18 22:06:51] AI shoots at (3, 2) - HIT
[2025-05-18 22:06:52] Player shoots at (2, 2) - HIT
[2025-05-18 22:06:52] AI shoots at (0, 3) - MISS
[2025-05-18 22:06:52] Player shoots at (2, 3) - MISS
[2025-05-18 22:06:53] AI shoots at (1, 2) - HIT
[2025-05-18 22:06:53] Player shoots at (2, 1) - MISS
[2025-05-18 22:06:54] AI shoots at (4, 0) - MISS
[2025-05-18 22:06:54] Player shoots at (3, 1) - HIT
[2025-05-18 22:06:54] AI shoots at (4, 3) - MISS
[2025-05-18 22:06:55] Player shoots at (3, 2) - HIT
[2025-05-18 22:06:55] AI shoots at (5, 0) - MISS
[2025-05-18 22:06:56] Player shoots at (3, 0) - MISS
[2025-05-18 22:06:56] AI shoots at (0, 2) - MISS
[2025-05-18 22:06:57] Player shoots at (3, 3) - HIT
[2025-05-18 22:06:57] AI shoots at (0, 0) - MISS
[2025-05-18 22:06:57] Player shoots at (4, 3) - MISS
[2025-05-18 22:06:58] AI shoots at (3, 1) - MISS
[2025-05-18 22:06:58] Player shoots at (4, 2) - MISS
[2025-05-18 22:06:58] AI shoots at (3, 3) - MISS
[2025-05-18 22:06:59] Player shoots at (3, 4) - HIT
[2025-05-18 22:07:00] AI shoots at (4, 2) - HIT
[2025-05-18 22:07:00] Player shoots at (2, 4) - HIT
[2025-05-18 22:07:00] AI shoots at (5, 1) - MISS
[2025-05-18 22:07:01] Player shoots at (3, 5) - HIT
[2025-05-18 22:07:01] AI shoots at (2, 5) - MISS
[2025-05-18 22:07:01] Player shoots at (2, 5) - HIT
[2025-05-18 22:07:02] AI shoots at (0, 1) - MISS
[2025-05-18 22:07:02] Player shoots at (1, 5) - MISS
[2025-05-18 22:07:03] AI shoots at (1, 5) - HIT
[2025-05-18 22:07:03] Player shoots at (1, 4) - MISS
[2025-05-18 22:07:03] AI shoots at (1, 4) - MISS
[2025-05-18 22:07:03] Player shoots at (1, 3) - MISS
[2025-05-18 22:07:04] AI shoots at (3, 5) - MISS
[2025-05-18 22:07:04] Player shoots at (0, 3) - MISS
[2025-05-18 22:07:04] AI shoots at (2, 2) - HIT
[2025-05-18 22:07:05] Player shoots at (0, 5) - MISS
[2025-05-18 22:07:05] AI shoots at (4, 5) - MISS
[2025-05-18 22:07:05] Player shoots at (0, 1) - MISS
[2025-05-18 22:07:06] AI shoots at (5, 2) - HIT
[2025-05-18 22:07:06] Player shoots at (0, 2) - MISS
[2025-05-18 22:07:07] AI shoots at (2, 1) - HIT
[2025-05-18 22:07:07] Player shoots at (1, 1) - MISS
[2025-05-18 22:07:07] AI shoots at (5, 4) - MISS
[2025-05-18 22:07:08] Player shoots at (0, 0) - MISS
[2025-05-18 22:07:08] AI shoots at (1, 1) - HIT
[2025-05-18 22:07:08] Player shoots at (1, 0) - MISS
[2025-05-18 22:07:09] AI shoots at (2, 3) - MISS
[2025-05-18 22:07:09] Player shoots at (2, 0) - MISS
[2025-05-18 22:07:09] AI shoots at (5, 3) - MISS
[2025-05-18 22:07:10] Player shoots at (4, 0) - MISS
[2025-05-18 22:07:10] AI shoots at (5, 5) - MISS
[2025-05-18 22:07:10] Player shoots at (4, 1) - MISS
[2025-05-18 22:07:11] AI shoots at (4, 1) - MISS
[2025-05-18 22:07:11] Player shoots at (5, 2) - MISS
[2025-05-18 22:07:11] AI shoots at (2, 4) - MISS
[2025-05-18 22:07:12] Player shoots at (4, 4) - HIT
[2025-05-18 22:07:13] AI shoots at (1, 3) - MISS
[2025-05-18 22:07:14] Player shoots at (5, 5) - MISS
[2025-05-18 22:07:14] AI shoots at (0, 4) - HIT
[2025-05-18 22:07:15] Player shoots at (4, 5) - HIT
[2025-05-18 22:07:15] Player wins
